subject,n_trials,silhouette_score,n_expected_erd_detected,contralateral_pattern_correct,left_contrast_db,right_contrast_db,between_class_erds_variance,mu_erds_left_at_c4,mu_erds_right_at_c3,beta_erds_left_at_c4,beta_erds_right_at_c3
A03,288,0.17595228441977337,8,1,-5.402409036288576,-0.17894348131607174,2.9974067724486613,-14.413787525950362,-11.478655794221666,-16.257840370146493,-15.254041025576736
A04,288,-0.00792993344298002,8,1,1.5002751161622427,-2.120892515648505,0.2492717987091547,-15.554439212795383,-16.456145744929657,-12.25921990880906,-13.228797821723393
A06,288,-0.022351149314204,8,1,0.4578745608546173,-1.7421583851220905,0.18993572797550304,-5.408566720265488,-5.978516406742045,-10.039357594862285,-10.416651027971685
