subject,module,config,accuracy,kappa,fold_accuracy_std,baseline_accuracy,improvement,improvement_pct
A04,riemannian,Cov(lwf)->TangentSpace->LR,0.5416666666666666,0.38888888888888884,0.06212477841201211,0.503,0.03866666666666663,3.8666666666666627
A04,csp_dim_search,n_components=8,0.5034722222222222,0.3379629629629629,0.05104556246201047,0.503,0.0004722222222222072,0.04722222222222072
A04,svm_linear,kernel=linear n_csp=6,0.5,0.33333333333333337,0.07738664932366313,0.503,-0.0030000000000000027,-0.30000000000000027
A04,extended_fbcsp,bands=[4-8+8-12+12-16+16-20+20-24+24-28+28-32+32-36] n_csp=2->SVM,0.4930555555555556,0.32407407407407407,0.04124234841451454,0.503,-0.009944444444444422,-0.9944444444444422
A04,csp_dim_search,n_components=6,0.4826388888888889,0.31018518518518523,0.05037677234383703,0.503,-0.020361111111111108,-2.0361111111111105
A04,svm_rbf,kernel=rbf C=1 gamma=scale n_csp=6,0.4826388888888889,0.31018518518518523,0.05037677234383703,0.503,-0.020361111111111108,-2.0361111111111105
A04,svm_rbf,kernel=rbf C=1 gamma=auto n_csp=6,0.4826388888888889,0.31018518518518523,0.05037677234383703,0.503,-0.020361111111111108,-2.0361111111111105
A04,csp_dim_search,n_components=4,0.4722222222222222,0.2962962962962963,0.07365067674976027,0.503,-0.030777777777777793,-3.0777777777777793
A04,svm_rbf,kernel=rbf C=10 gamma=scale n_csp=6,0.4722222222222222,0.2962962962962963,0.040915025135279455,0.503,-0.030777777777777793,-3.0777777777777793
A04,svm_rbf,kernel=rbf C=10 gamma=auto n_csp=6,0.4722222222222222,0.2962962962962963,0.040915025135279455,0.503,-0.030777777777777793,-3.0777777777777793
A04,extended_fbcsp,bands=[4-8+8-12+12-16+16-20+20-24+24-28+28-32+32-36] n_csp=2->LDA,0.4513888888888889,0.2685185185185185,0.05259248535938059,0.503,-0.05161111111111111,-5.1611111111111105
A04,csp_dim_search,n_components=2,0.4097222222222222,0.2129629629629629,0.08496047595959527,0.503,-0.09327777777777779,-9.32777777777778
A04,svm_rbf,kernel=rbf C=100 gamma=scale n_csp=6,0.375,0.16666666666666663,0.045770942664027654,0.503,-0.128,-12.8
A04,svm_rbf,kernel=rbf C=100 gamma=auto n_csp=6,0.375,0.16666666666666663,0.045770942664027654,0.503,-0.128,-12.8
A06,riemannian,Cov(lwf)->TangentSpace->LR,0.5,0.33333333333333337,0.0428901334803979,0.49,0.010000000000000009,1.0000000000000009
A06,extended_fbcsp,bands=[4-8+8-12+12-16+16-20+20-24+24-28+28-32+32-36] n_csp=2->SVM,0.4826388888888889,0.31018518518518523,0.03133731345876686,0.49,-0.007361111111111096,-0.7361111111111096
A06,svm_linear,kernel=linear n_csp=6,0.4340277777777778,0.24537037037037035,0.08179663455550379,0.49,-0.0559722222222222,-5.59722222222222
A06,extended_fbcsp,bands=[4-8+8-12+12-16+16-20+20-24+24-28+28-32+32-36] n_csp=2->LDA,0.4305555555555556,0.2407407407407407,0.05082699460666258,0.49,-0.05944444444444441,-5.944444444444441
A06,csp_dim_search,n_components=8,0.4131944444444444,0.21759259259259256,0.05725306430587276,0.49,-0.07680555555555557,-7.680555555555557
A06,csp_dim_search,n_components=6,0.4027777777777778,0.20370370370370372,0.11347643337924343,0.49,-0.0872222222222222,-8.72222222222222
A06,svm_rbf,kernel=rbf C=1 gamma=scale n_csp=6,0.4027777777777778,0.20370370370370372,0.11347643337924343,0.49,-0.0872222222222222,-8.72222222222222
A06,svm_rbf,kernel=rbf C=1 gamma=auto n_csp=6,0.4027777777777778,0.20370370370370372,0.11347643337924343,0.49,-0.0872222222222222,-8.72222222222222
A06,svm_rbf,kernel=rbf C=10 gamma=scale n_csp=6,0.3854166666666667,0.18055555555555558,0.08253570555625472,0.49,-0.1045833333333333,-10.45833333333333
A06,svm_rbf,kernel=rbf C=10 gamma=auto n_csp=6,0.3854166666666667,0.18055555555555558,0.08253570555625472,0.49,-0.1045833333333333,-10.45833333333333
A06,csp_dim_search,n_components=4,0.3576388888888889,0.1435185185185185,0.10373355837138258,0.49,-0.1323611111111111,-13.236111111111109
A06,svm_rbf,kernel=rbf C=100 gamma=scale n_csp=6,0.3576388888888889,0.1435185185185185,0.046377249869984156,0.49,-0.1323611111111111,-13.236111111111109
A06,svm_rbf,kernel=rbf C=100 gamma=auto n_csp=6,0.3576388888888889,0.1435185185185185,0.046377249869984156,0.49,-0.1323611111111111,-13.236111111111109
A06,csp_dim_search,n_components=2,0.3125,0.08333333333333337,0.05602425831692307,0.49,-0.1775,-17.75
