subject,cv_accuracy,cv_std,Accuracy,Precision,Recall,F1-score
A01,0.8122807017543859,0.049074803923147434,0.7931034482758621,0.7971572249589491,0.7931034482758621,0.7926142516146736
A02,0.5174228675136117,0.03415730346926063,0.4827586206896552,0.48390804597701154,0.4827586206896552,0.4827586206896552
A03,0.843859649122807,0.02858680855423137,0.8103448275862069,0.8500522466039709,0.8103448275862069,0.8148010610079576
A04,0.4825771324863884,0.05037677234383703,0.3793103448275862,0.3686005464589856,0.3793103448275862,0.36982963528742363
A05,0.49280096793708406,0.0715894730739199,0.5517241379310345,0.5435920703615803,0.5517241379310345,0.541871921182266
A06,0.4619479733817301,0.05730462675904641,0.5172413793103449,0.5310710029600585,0.5172413793103449,0.5111188670172336
A07,0.7295220810647308,0.06297126328609176,0.6896551724137931,0.6945457559681698,0.6896551724137931,0.691673876323487
A08,0.8228675136116153,0.04043771849908422,0.8103448275862069,0.8134394341290894,0.8103448275862069,0.8102598946832001
A09,0.7431336963097399,0.06649434306859012,0.6896551724137931,0.7093521421107628,0.6896551724137931,0.6889530347948198
