subject,method,band,window,car,accuracy,kappa,fold_accuracy_std,anomaly_flag,mu_power_mean,beta_power_mean
A01,FBCSP+LDA,4-40Hz,0.5-4.0s,False,0.8229166666666666,0.7638888888888888,0.0424818533064797,False,-18.419637659263195,-18.41959908147384
A02,FBCSP+LDA,7-35Hz,1.0-4.0s,False,0.6875,0.5833333333333333,0.0284961524170867,False,-18.419215248729756,-18.419747816850844
A03,CSP+SVM,8-30Hz,0.5-3.5s,False,0.8680555555555556,0.8240740740740741,0.0500801488629306,False,-18.41882944423558,-18.418583296127714
A04,FBCSP+LDA,8-30Hz,0.5-2.5s,False,0.5034722222222222,0.3379629629629629,0.0745681215828115,False,-18.41989129281179,-18.419588055746576
A05,FBCSP+LDA,4-40Hz,0.5-4.0s,True,0.75,0.6666666666666667,0.0132438037955443,True,-18.420220811998885,-18.41988782159158
A06,FBCSP+LDA,4-40Hz,0.5-4.0s,False,0.4895833333333333,0.3194444444444444,0.0701111059604572,False,-18.41857736710085,-18.41920313452139
A07,FBCSP+LDA,8-30Hz,0.5-4.0s,False,0.7951388888888888,0.7268518518518519,0.0293714483418517,False,-18.4199060999238,-18.419821987765346
A08,CSP+SVM,4-40Hz,0.5-3.5s,True,0.8680555555555556,0.8240740740740741,0.0412428808406344,False,-18.416667064780047,-18.417921550485147
A09,CSP+SVM,7-35Hz,0.5-2.5s,True,0.7604166666666666,0.6805555555555556,0.0445295442170955,True,-18.414910124002944,-18.419346222028125
