subject,task,band,window,car,accuracy,kappa,fold_accuracy_std,current_cv,improvement_pp,classifier
A02,classifier_LDA,7-35Hz,0.5-4.0s,False,0.5069444444444444,0.34259259259259256,0.06005635723364906,0.6875,-18.055555555555557,LDA
A02,classifier_SVM-RBF,7-35Hz,0.5-4.0s,False,0.6597222222222222,0.5462962962962963,0.02359346642468241,0.6875,-2.777777777777779,SVM-RBF
A02,classifier_XGBoost,7-35Hz,0.5-4.0s,False,0.7118055555555556,0.6157407407407407,0.07089318370345193,0.6875,2.430555555555558,XGBoost
A02,classifier_ExtraTrees,7-35Hz,0.5-4.0s,False,0.7256944444444444,0.6342592592592593,0.05651077545213046,0.6875,3.819444444444442,ExtraTrees
A02,classifier_LightGBM,7-35Hz,0.5-4.0s,False,0.6875,0.5833333333333333,0.07271088798552007,0.6875,0.0,LightGBM
A05,classifier_LDA,4-40Hz,0.5-3.5s,True,0.5208333333333334,0.36111111111111116,0.04653929110567637,0.75,-22.916666666666664,LDA
A05,classifier_SVM-RBF,4-40Hz,0.5-3.5s,True,0.6180555555555556,0.4907407407407407,0.021829274879053784,0.75,-13.194444444444443,SVM-RBF
A05,classifier_XGBoost,4-40Hz,0.5-3.5s,True,0.7465277777777778,0.662037037037037,0.05953360211724138,0.75,-0.347222222222221,XGBoost
A05,classifier_ExtraTrees,4-40Hz,0.5-3.5s,True,0.7013888888888888,0.6018518518518519,0.04638174770061311,0.75,-4.861111111111116,ExtraTrees
A05,classifier_LightGBM,4-40Hz,0.5-3.5s,True,0.7708333333333334,0.6944444444444444,0.05036260398191662,0.75,2.083333333333337,LightGBM
A09,classifier_LDA,7-35Hz,0.5-2.5s,True,0.6666666666666666,0.5555555555555556,0.040290108619495585,0.7604,-9.373333333333333,LDA
A09,classifier_SVM-RBF,7-35Hz,0.5-2.5s,True,0.7916666666666666,0.7222222222222222,0.053810903709466604,0.7604,3.1266666666666665,SVM-RBF
A09,classifier_XGBoost,7-35Hz,0.5-2.5s,True,0.8090277777777778,0.7453703703703703,0.03859222402815425,0.7604,4.862777777777783,XGBoost
A09,classifier_ExtraTrees,7-35Hz,0.5-2.5s,True,0.7916666666666666,0.7222222222222222,0.05192120611654161,0.7604,3.1266666666666665,ExtraTrees
A09,classifier_LightGBM,7-35Hz,0.5-2.5s,True,0.8194444444444444,0.7592592592592593,0.04653032546735647,0.7604,5.9044444444444455,LightGBM
